2025-12-10 17:12:33.108  1698-1895  TranDynami...rollerImpl system_server                        E  TranDynamicBarAnimControllerImpl setSimplifyAnimByLauncherType pkgName:com.rmst.biometrics
2025-12-10 17:12:33.108  1698-1895  TranDynami...rollerImpl system_server                        E  end setSimplifyAnimByLauncherType mSimplifyAnimOpenPkgName:com.rmst.biometrics simplifyAnimByLauncherType:0
2025-12-10 17:12:33.160  1698-4890  TranDynami...rollerImpl system_server                        E  TranDynamicBarAnimControllerImpl setSimplifyAnimByLauncherType pkgName:com.rmst.biometrics
2025-12-10 17:12:33.160  1698-4890  TranDynami...rollerImpl system_server                        E  end setSimplifyAnimByLauncherType mSimplifyAnimOpenPkgName:com.rmst.biometrics simplifyAnimByLauncherType:1
---------------------------- PROCESS STARTED (22361) for package com.rmst.biometrics ----------------------------
2025-12-10 17:12:33.564 22361-22361 DebugTheme...emeUpdated com.rmst.biometrics                  D  reload start !TranResourcesUtils.isRunningOnSystemServer()=true currentForegroundUser=0
2025-12-10 17:13:07.559 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: INDEX | Hand Confidence: 56.180256%
2025-12-10 17:13:07.559 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: MIDDLE | Hand Confidence: 56.180256%
2025-12-10 17:13:07.559 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: RING | Hand Confidence: 56.180256%
2025-12-10 17:13:07.559 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: PINKY | Hand Confidence: 56.180256%
2025-12-10 17:13:07.569 22361-22566 UseCaseAttachState      com.rmst.biometrics                  D  Active and attached use case: [androidx.camera.core.ImageCapture-4d589789-c211-444b-872d-69a1ecdca194176037551, androidx.camera.core.ImageAnalysis-b8a99e9f-c546-4fba-b011-d11b29790a63248084105, androidx.camera.core.Preview-55d6bd05-8904-4208-bbbd-1591dd2eca3779745107] for camera: 0
2025-12-10 17:13:07.573 22361-22361 OverlayView             com.rmst.biometrics                  D  === Overall Quality: 56.18025588989258 | Status: FAIR ===
2025-12-10 17:13:07.580 22361-22566 CaptureSession          com.rmst.biometrics                  D  Attempting to submit CaptureRequest after setting
2025-12-10 17:13:07.581 22361-22566 CaptureSession          com.rmst.biometrics                  D  Issuing request for session.
2025-12-10 17:13:07.583 22361-22566 Camera2Cap...estBuilder com.rmst.biometrics                  D  createCaptureRequest
2025-12-10 17:13:07.590 22361-22566 Camera2CameraImpl       com.rmst.biometrics                  D  {Camera@e1c4371[id=0]} Issue capture request
2025-12-10 17:13:07.590 22361-22566 CaptureSession          com.rmst.biometrics                  D  Issuing capture request.
2025-12-10 17:13:07.592 22361-22566 Camera2Cap...estBuilder com.rmst.biometrics                  D  createCaptureRequest
2025-12-10 17:13:07.604 22361-22566 UseCaseAttachState      com.rmst.biometrics                  D  Active and attached use case: [androidx.camera.core.ImageCapture-4d589789-c211-444b-872d-69a1ecdca194176037551, androidx.camera.core.ImageAnalysis-b8a99e9f-c546-4fba-b011-d11b29790a63248084105, androidx.camera.core.Preview-55d6bd05-8904-4208-bbbd-1591dd2eca3779745107] for camera: 0
2025-12-10 17:13:07.616 22361-22566 CaptureSession          com.rmst.biometrics                  D  Attempting to submit CaptureRequest after setting
2025-12-10 17:13:07.616 22361-22566 CaptureSession          com.rmst.biometrics                  D  Issuing request for session.
2025-12-10 17:13:07.619 22361-22566 Camera2Cap...estBuilder com.rmst.biometrics                  D  createCaptureRequest
2025-12-10 17:13:07.626 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: THUMB | Hand Confidence: 82.54328%
2025-12-10 17:13:07.626 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: INDEX | Hand Confidence: 82.54328%
2025-12-10 17:13:07.626 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: MIDDLE | Hand Confidence: 82.54328%
2025-12-10 17:13:07.626 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: RING | Hand Confidence: 82.54328%
2025-12-10 17:13:07.626 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: PINKY | Hand Confidence: 82.54328%
2025-12-10 17:13:07.630 22361-22566 Camera2CameraImpl       com.rmst.biometrics                  D  {Camera@e1c4371[id=0]} Issue capture request
2025-12-10 17:13:07.631 22361-22566 CaptureSession          com.rmst.biometrics                  D  Issuing capture request.
2025-12-10 17:13:07.644 22361-22566 Camera2Cap...estBuilder com.rmst.biometrics                  D  createCaptureRequest
2025-12-10 17:13:07.645 22361-22361 OverlayView             com.rmst.biometrics                  D  === Overall Quality: 82.54328155517578 | Status: GOOD ===
2025-12-10 17:13:07.723 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: THUMB | Hand Confidence: 94.51944%
2025-12-10 17:13:07.723 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: INDEX | Hand Confidence: 94.51944%
2025-12-10 17:13:07.723 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: MIDDLE | Hand Confidence: 94.51944%
2025-12-10 17:13:07.723 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: RING | Hand Confidence: 94.51944%
2025-12-10 17:13:07.723 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: PINKY | Hand Confidence: 94.51944%
2025-12-10 17:13:07.725 22361-22366 rmst.biometrics         com.rmst.biometrics                  I  Background concurrent mark compact GC freed 954KB AllocSpace bytes, 11(12MB) LOS objects, 61% free, 7769KB/19MB, paused 704us,9.345ms total 105.614ms
2025-12-10 17:13:07.735 22361-22361 OverlayView             com.rmst.biometrics                  D  === Overall Quality: 94.51943969726562 | Status: GOOD ===
2025-12-10 17:13:07.764 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: THUMB | Hand Confidence: 68.76076%
2025-12-10 17:13:07.765 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: INDEX | Hand Confidence: 68.76076%
2025-12-10 17:13:07.765 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: MIDDLE | Hand Confidence: 68.76076%
2025-12-10 17:13:07.765 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: RING | Hand Confidence: 68.76076%
2025-12-10 17:13:07.765 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: PINKY | Hand Confidence: 68.76076%
2025-12-10 17:13:07.768 22361-22361 OverlayView             com.rmst.biometrics                  D  === Overall Quality: 68.76075744628906 | Status: FAIR ===
2025-12-10 17:13:07.820 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: THUMB | Hand Confidence: 88.24281%
2025-12-10 17:13:07.820 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: INDEX | Hand Confidence: 88.24281%
2025-12-10 17:13:07.820 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: MIDDLE | Hand Confidence: 88.24281%
2025-12-10 17:13:07.820 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: RING | Hand Confidence: 88.24281%
2025-12-10 17:13:07.821 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: PINKY | Hand Confidence: 88.24281%
2025-12-10 17:13:07.835 22361-22361 OverlayView             com.rmst.biometrics                  D  === Overall Quality: 88.24281311035156 | Status: GOOD ===
2025-12-10 17:13:07.860 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: THUMB | Hand Confidence: 93.68448%
2025-12-10 17:13:07.860 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: INDEX | Hand Confidence: 93.68448%
2025-12-10 17:13:07.860 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: MIDDLE | Hand Confidence: 93.68448%
2025-12-10 17:13:07.860 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: RING | Hand Confidence: 93.68448%
2025-12-10 17:13:07.860 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: PINKY | Hand Confidence: 93.68448%
2025-12-10 17:13:07.868 22361-22361 OverlayView             com.rmst.biometrics                  D  === Overall Quality: 93.68447875976562 | Status: GOOD ===
2025-12-10 17:13:07.913 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: THUMB | Hand Confidence: 93.94232%
2025-12-10 17:13:07.913 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: INDEX | Hand Confidence: 93.94232%
2025-12-10 17:13:07.913 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: MIDDLE | Hand Confidence: 93.94232%
2025-12-10 17:13:07.913 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: RING | Hand Confidence: 93.94232%
2025-12-10 17:13:07.913 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: PINKY | Hand Confidence: 93.94232%
2025-12-10 17:13:07.918 22361-22361 OverlayView             com.rmst.biometrics                  D  === Overall Quality: 93.94232177734375 | Status: GOOD ===
2025-12-10 17:13:07.963 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: THUMB | Hand Confidence: 92.21676%
2025-12-10 17:13:07.964 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: INDEX | Hand Confidence: 92.21676%
2025-12-10 17:13:07.964 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: MIDDLE | Hand Confidence: 92.21676%
2025-12-10 17:13:07.964 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: RING | Hand Confidence: 92.21676%
2025-12-10 17:13:07.964 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: PINKY | Hand Confidence: 92.21676%
2025-12-10 17:13:07.967 22361-22361 OverlayView             com.rmst.biometrics                  D  === Overall Quality: 92.21675872802734 | Status: GOOD ===
2025-12-10 17:13:08.010 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: THUMB | Hand Confidence: 94.12413%
2025-12-10 17:13:08.010 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: INDEX | Hand Confidence: 94.12413%
2025-12-10 17:13:08.010 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: MIDDLE | Hand Confidence: 94.12413%
2025-12-10 17:13:08.010 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: RING | Hand Confidence: 94.12413%
2025-12-10 17:13:08.010 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: PINKY | Hand Confidence: 94.12413%
2025-12-10 17:13:08.017 22361-22361 OverlayView             com.rmst.biometrics                  D  === Overall Quality: 94.12413024902344 | Status: GOOD ===
2025-12-10 17:13:08.049 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: THUMB | Hand Confidence: 94.248055%
2025-12-10 17:13:08.049 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: INDEX | Hand Confidence: 94.248055%
2025-12-10 17:13:08.050 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: MIDDLE | Hand Confidence: 94.248055%
2025-12-10 17:13:08.050 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: RING | Hand Confidence: 94.248055%
2025-12-10 17:13:08.050 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: PINKY | Hand Confidence: 94.248055%
2025-12-10 17:13:08.050 22361-22361 OverlayView             com.rmst.biometrics                  D  Stable frames: 1/15 | Quality: 94.24805450439453
2025-12-10 17:13:08.068 22361-22361 OverlayView             com.rmst.biometrics                  D  === Overall Quality: 94.24805450439453 | Status: GOOD ===
2025-12-10 17:13:08.090 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: THUMB | Hand Confidence: 94.152626%
2025-12-10 17:13:08.090 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: INDEX | Hand Confidence: 94.152626%
2025-12-10 17:13:08.090 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: MIDDLE | Hand Confidence: 94.152626%
2025-12-10 17:13:08.090 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: RING | Hand Confidence: 94.152626%
2025-12-10 17:13:08.091 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: PINKY | Hand Confidence: 94.152626%
2025-12-10 17:13:08.091 22361-22361 OverlayView             com.rmst.biometrics                  D  Reset: Quality=true, Stable=false
2025-12-10 17:13:08.101 22361-22361 OverlayView             com.rmst.biometrics                  D  === Overall Quality: 94.15262603759766 | Status: GOOD ===
2025-12-10 17:13:08.147 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: THUMB | Hand Confidence: 93.87571%
2025-12-10 17:13:08.147 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: INDEX | Hand Confidence: 93.87571%
2025-12-10 17:13:08.147 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: MIDDLE | Hand Confidence: 93.87571%
2025-12-10 17:13:08.147 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: RING | Hand Confidence: 93.87571%
2025-12-10 17:13:08.147 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: PINKY | Hand Confidence: 93.87571%
2025-12-10 17:13:08.151 22361-22361 OverlayView             com.rmst.biometrics                  D  === Overall Quality: 93.8757095336914 | Status: GOOD ===
2025-12-10 17:13:08.209 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: THUMB | Hand Confidence: 93.743866%
2025-12-10 17:13:08.209 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: INDEX | Hand Confidence: 93.743866%
2025-12-10 17:13:08.209 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: MIDDLE | Hand Confidence: 93.743866%
2025-12-10 17:13:08.209 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: RING | Hand Confidence: 93.743866%
2025-12-10 17:13:08.209 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: PINKY | Hand Confidence: 93.743866%
2025-12-10 17:13:08.209 22361-22361 OverlayView             com.rmst.biometrics                  D  Stable frames: 1/15 | Quality: 93.74386596679688
2025-12-10 17:13:08.217 22361-22361 OverlayView             com.rmst.biometrics                  D  === Overall Quality: 93.74386596679688 | Status: GOOD ===
2025-12-10 17:13:08.264 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: THUMB | Hand Confidence: 93.58955%
2025-12-10 17:13:08.265 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: INDEX | Hand Confidence: 93.58955%
2025-12-10 17:13:08.265 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: MIDDLE | Hand Confidence: 93.58955%
2025-12-10 17:13:08.265 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: RING | Hand Confidence: 93.58955%
2025-12-10 17:13:08.265 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: PINKY | Hand Confidence: 93.58955%
2025-12-10 17:13:08.265 22361-22361 OverlayView             com.rmst.biometrics                  D  Reset: Quality=true, Stable=false
2025-12-10 17:13:08.284 22361-22361 OverlayView             com.rmst.biometrics                  D  === Overall Quality: 93.58954620361328 | Status: GOOD ===
2025-12-10 17:13:08.303 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: THUMB | Hand Confidence: 93.68905%
2025-12-10 17:13:08.303 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: INDEX | Hand Confidence: 93.68905%
2025-12-10 17:13:08.303 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: MIDDLE | Hand Confidence: 93.68905%
2025-12-10 17:13:08.303 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: RING | Hand Confidence: 93.68905%
2025-12-10 17:13:08.303 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: PINKY | Hand Confidence: 93.68905%
2025-12-10 17:13:08.303 22361-22361 OverlayView             com.rmst.biometrics                  D  Stable frames: 1/15 | Quality: 93.68904876708984
2025-12-10 17:13:08.317 22361-22361 OverlayView             com.rmst.biometrics                  D  === Overall Quality: 93.68904876708984 | Status: GOOD ===
2025-12-10 17:13:08.356 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: THUMB | Hand Confidence: 92.55139%
2025-12-10 17:13:08.356 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: INDEX | Hand Confidence: 92.55139%
2025-12-10 17:13:08.356 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: MIDDLE | Hand Confidence: 92.55139%
2025-12-10 17:13:08.356 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: RING | Hand Confidence: 92.55139%
2025-12-10 17:13:08.356 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: PINKY | Hand Confidence: 92.55139%
2025-12-10 17:13:08.356 22361-22361 OverlayView             com.rmst.biometrics                  D  Stable frames: 2/15 | Quality: 92.5513916015625
2025-12-10 17:13:08.368 22361-22361 OverlayView             com.rmst.biometrics                  D  === Overall Quality: 92.5513916015625 | Status: GOOD ===
2025-12-10 17:13:08.406 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: THUMB | Hand Confidence: 92.6754%
2025-12-10 17:13:08.406 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: INDEX | Hand Confidence: 92.6754%
2025-12-10 17:13:08.407 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: MIDDLE | Hand Confidence: 92.6754%
2025-12-10 17:13:08.407 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: RING | Hand Confidence: 92.6754%
2025-12-10 17:13:08.407 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: PINKY | Hand Confidence: 92.6754%
2025-12-10 17:13:08.407 22361-22361 OverlayView             com.rmst.biometrics                  D  Stable frames: 3/15 | Quality: 92.67539978027344
2025-12-10 17:13:08.418 22361-22361 OverlayView             com.rmst.biometrics                  D  === Overall Quality: 92.67539978027344 | Status: GOOD ===
2025-12-10 17:13:08.461 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: THUMB | Hand Confidence: 92.58517%
2025-12-10 17:13:08.461 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: INDEX | Hand Confidence: 92.58517%
2025-12-10 17:13:08.461 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: MIDDLE | Hand Confidence: 92.58517%
2025-12-10 17:13:08.462 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: RING | Hand Confidence: 92.58517%
2025-12-10 17:13:08.462 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: PINKY | Hand Confidence: 92.58517%
2025-12-10 17:13:08.462 22361-22361 OverlayView             com.rmst.biometrics                  D  Stable frames: 4/15 | Quality: 92.58516693115234
2025-12-10 17:13:08.467 22361-22361 OverlayView             com.rmst.biometrics                  D  === Overall Quality: 92.58516693115234 | Status: GOOD ===
2025-12-10 17:13:08.483 22361-22566 Camera2CameraImpl       com.rmst.biometrics                  D  {Camera@e1c4371[id=0]} Issue capture request
2025-12-10 17:13:08.483 22361-22566 CaptureSession          com.rmst.biometrics                  D  Issuing capture request.
2025-12-10 17:13:08.483 22361-22554 RMST Biomterics         com.rmst.biometrics                  D  Processing bitmap: 640x480, format: ARGB_8888
2025-12-10 17:13:08.483 22361-22554 FingerprintExtractor    com.rmst.biometrics                  D  ROI too small: 121.97189x-21.440811 (minimum 30x30)
2025-12-10 17:13:08.484 22361-22554 FingerprintExtractor    com.rmst.biometrics                  W  Invalid ROI for THUMB
2025-12-10 17:13:08.484 22361-22554 FingerprintExtractor    com.rmst.biometrics                  D  ROI too small: 221.35405x-40.959915 (minimum 30x30)
2025-12-10 17:13:08.484 22361-22554 FingerprintExtractor    com.rmst.biometrics                  W  Invalid ROI for INDEX
2025-12-10 17:13:08.485 22361-22554 FingerprintExtractor    com.rmst.biometrics                  D  ROI too small: 240.53537x-43.436966 (minimum 30x30)
2025-12-10 17:13:08.485 22361-22554 FingerprintExtractor    com.rmst.biometrics                  W  Invalid ROI for MIDDLE
2025-12-10 17:13:08.485 22361-22554 FingerprintExtractor    com.rmst.biometrics                  D  ROI too small: 244.41238x-37.565933 (minimum 30x30)
2025-12-10 17:13:08.485 22361-22566 Camera2Cap...estBuilder com.rmst.biometrics                  D  createCaptureRequest
2025-12-10 17:13:08.485 22361-22554 FingerprintExtractor    com.rmst.biometrics                  W  Invalid ROI for RING
2025-12-10 17:13:08.488 22361-22554 FingerprintExtractor    com.rmst.biometrics                  D  ROI too small: 236.37262x-42.789673 (minimum 30x30)
2025-12-10 17:13:08.488 22361-22554 FingerprintExtractor    com.rmst.biometrics                  W  Invalid ROI for PINKY
2025-12-10 17:13:08.489 22361-22554 RMST Biomterics         com.rmst.biometrics                  W  Fingerprint extraction failed: 0 fingerprints passed quality check
2025-12-10 17:13:08.497 22361-22566 UseCaseAttachState      com.rmst.biometrics                  D  Active and attached use case: [androidx.camera.core.ImageCapture-4d589789-c211-444b-872d-69a1ecdca194176037551, androidx.camera.core.ImageAnalysis-b8a99e9f-c546-4fba-b011-d11b29790a63248084105, androidx.camera.core.Preview-55d6bd05-8904-4208-bbbd-1591dd2eca3779745107] for camera: 0
2025-12-10 17:13:08.518 22361-22566 CaptureSession          com.rmst.biometrics                  D  Attempting to submit CaptureRequest after setting
2025-12-10 17:13:08.518 22361-22566 CaptureSession          com.rmst.biometrics                  D  Issuing request for session.
2025-12-10 17:13:08.524 22361-22566 Camera2Cap...estBuilder com.rmst.biometrics                  D  createCaptureRequest
2025-12-10 17:13:08.551 22361-22361 ActivityThread          com.rmst.biometrics                  D  handleResumeActivity#3 r.window=com.android.internal.policy.PhoneWindow@f8a4d9fa.mFinished = falsewillBeVisible = true
2025-12-10 17:13:08.562 22361-22361 BufferQueueConsumer     com.rmst.biometrics                  D  [](id:575900000007,api:0,p:-1,c:22361) connect: controlledByApp=false
2025-12-10 17:13:08.562 22361-22361 BLASTBufferQueue        com.rmst.biometrics                  D  [VRI[MainActivity]#4](f:0,a:0) constructor()
2025-12-10 17:13:08.562 22361-22361 BLASTBufferQueue        com.rmst.biometrics                  D  [VRI[MainActivity]#4](f:0,a:0) update width=1080 height=2400 format=-1 mTransformHint=0
2025-12-10 17:13:08.580 22361-22381 BLASTBufferQueue        com.rmst.biometrics                  D  [VRI[MainActivity]#4](f:0,a:1) acquireNextBufferLocked size=1080x2400 mFrameNumber=1 applyTransaction=true mTimestamp=157736265658323(auto) mPendingTransactions.size=0 graphicBufferId=96039763705892 transform=0
2025-12-10 17:13:08.648 22361-22361 CameraOrientationUtil   com.rmst.biometrics                  D  getRelativeImageRotation: destRotationDegrees=0, sourceRotationDegrees=90, isOppositeFacing=true, result=90
2025-12-10 17:13:08.664 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: THUMB | Hand Confidence: 93.17638%
2025-12-10 17:13:08.665 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: INDEX | Hand Confidence: 93.17638%
2025-12-10 17:13:08.665 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: MIDDLE | Hand Confidence: 93.17638%
2025-12-10 17:13:08.665 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: RING | Hand Confidence: 93.17638%
2025-12-10 17:13:08.665 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: PINKY | Hand Confidence: 93.17638%
2025-12-10 17:13:08.665 22361-22361 OverlayView             com.rmst.biometrics                  D  Stable frames: 5/15 | Quality: 93.17637634277344
2025-12-10 17:13:08.672 22361-22361 OverlayView             com.rmst.biometrics                  D  === Overall Quality: 93.17637634277344 | Status: GOOD ===
2025-12-10 17:13:08.679 22361-22566 UseCaseAttachState      com.rmst.biometrics                  D  Active and attached use case: [androidx.camera.core.ImageCapture-4d589789-c211-444b-872d-69a1ecdca194176037551, androidx.camera.core.ImageAnalysis-b8a99e9f-c546-4fba-b011-d11b29790a63248084105, androidx.camera.core.Preview-55d6bd05-8904-4208-bbbd-1591dd2eca3779745107] for camera: 0
2025-12-10 17:13:08.687 22361-22566 CaptureSession          com.rmst.biometrics                  D  Attempting to submit CaptureRequest after setting
2025-12-10 17:13:08.687 22361-22566 CaptureSession          com.rmst.biometrics                  D  Issuing request for session.
2025-12-10 17:13:08.689 22361-22566 Camera2Cap...estBuilder com.rmst.biometrics                  D  createCaptureRequest
2025-12-10 17:13:08.692 22361-22566 Camera2CameraImpl       com.rmst.biometrics                  D  {Camera@e1c4371[id=0]} Issue capture request
2025-12-10 17:13:08.692 22361-22566 CaptureSession          com.rmst.biometrics                  D  Issuing capture request.
2025-12-10 17:13:08.694 22361-22566 Camera2Cap...estBuilder com.rmst.biometrics                  D  createCaptureRequest
2025-12-10 17:13:08.728 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: THUMB | Hand Confidence: 92.508545%
2025-12-10 17:13:08.728 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: INDEX | Hand Confidence: 92.508545%
2025-12-10 17:13:08.729 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: MIDDLE | Hand Confidence: 92.508545%
2025-12-10 17:13:08.729 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: RING | Hand Confidence: 92.508545%
2025-12-10 17:13:08.729 22361-22361 OverlayView             com.rmst.biometrics                  D  Finger: PINKY | Hand Confidence: 92.508545%
2025-12-10 17:13:08.729 22361-22361 OverlayView             com.rmst.biometrics                  D  Reset: Quality=true, Stable=false
2025-12-10 17:13:08.739 22361-22361 OverlayView             com.rmst.biometrics                  D  === Overall Quality: 92.508544921875 | Status: GOOD ===
2025-12-10 17:13:08.745 22361-22581 libMEOW                 com.rmst.biometrics                  D  meow delete tls: 0xb4000070b6e561d0
2025-12-10 17:13:08.752 22361-22567 TransportR...EventStore com.rmst.biometrics                  D  Storing event with priority=DEFAULT, name=COREML_ON_DEVICE_SOLUTIONS for destination cct
2025-12-10 17:13:08.755 22361-22567 TransportR...oScheduler com.rmst.biometrics                  D  Upload for context TransportContext(cct, DEFAULT, MSRodHRwczovL2ZpcmViYXNlbG9nZ2luZy5nb29nbGVhcGlzLmNvbS92MGNjL2xvZy9iYXRjaD9mb3JtYXQ9anNvbl9wcm90bzNc) is already scheduled. Returning...
2025-12-10 17:13:08.967 22361-22361 VRI[BiometricsActivity] com.rmst.biometrics                  D  visibilityChanged oldVisibility=true newVisibility=false
2025-12-10 17:13:08.972 22361-22361 SurfaceViewImpl         com.rmst.biometrics                  D  Surface destroyed.
2025-12-10 17:13:08.972 22361-22361 SurfaceViewImpl         com.rmst.biometrics                  D  Surface invalidated androidx.camera.core.SurfaceRequest@35be384
2025-12-10 17:13:08.972 22361-22361 DeferrableSurface       com.rmst.biometrics                  D  surface closed,  useCount=1 closed=true androidx.camera.core.SurfaceRequest$2@98a476d
2025-12-10 17:13:08.972 22361-22361 BLASTBufferQueue        com.rmst.biometrics                  D  [SurfaceView[com.rmst.biometrics/com.biometrics.BiometricsActivity]#3](f:0,a:1) destructor()
2025-12-10 17:13:08.972 22361-22361 BufferQueueConsumer     com.rmst.biometrics                  D  [SurfaceView[com.rmst.biometrics/com.biometrics.BiometricsActivity]#3(BLAST Consumer)3](id:575900000006,api:4,p:1369,c:22361) disconnect
2025-12-10 17:13:08.981 22361-22551 BufferQueueProducer     com.rmst.biometrics                  E  [SurfaceView[com.rmst.biometrics/com.biometrics.BiometricsActivity]#3(BLAST Consumer)3](id:575900000006,api:4,p:1369,c:22361) queueBuffer: BufferQueue has been abandoned
2025-12-10 17:13:08.985 22361-22361 BLASTBufferQueue        com.rmst.biometrics                  D  [VRI[BiometricsActivity]#2](f:0,a:1) destructor()
2025-12-10 17:13:08.985 22361-22361 BufferQueueConsumer     com.rmst.biometrics                  D  [VRI[BiometricsActivity]#2(BLAST Consumer)2](id:575900000002,api:0,p:-1,c:22361) disconnect
2025-12-10 17:13:08.989 22361-22551 BufferQueueProducer     com.rmst.biometrics                  E  [SurfaceView[com.rmst.biometrics/com.biometrics.BiometricsActivity]#3(BLAST Consumer)3](id:575900000006,api:4,p:1369,c:22361) dequeueBuffer: BufferQueue has been abandoned
